"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания нового suite","32580","checkCreateSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка создания нового test case","32528","checkCreateTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка удаления test case","32518","checkDeleteTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Редактирование существующего проекта","22570","checkEditProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"","14687","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка удаления suite","32852","checkDeleteSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"","0","tearDown","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","tearDown"
"Редактирование test case","32557","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка создания нового вложенного suite","32500","checkCreateNestedSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"","0","tearDown","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","tearDown"
"Проверка создания, обновления и удаления тест-кейса через API","0","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-19","skipped","2026-07-19","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Проверка создания нового проекта","5821","checkCreateProject","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"","4269","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка успешной авторизации пользователя","22517","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"","0","setUp","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","setUp"
"Проверка удаления существующего проекта","32581","checkDeleteProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка создания нового проекта через API","6","checkCreateProject","Qase Automation Suite","2026-07-19","skipped","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Редактирование suite","32679","checkEditeSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"","2219","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"","0","setUp","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","setUp"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32601","checkEnd2End","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Проверка нажатия отмена при создании нового test case","32504","checkCancelTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка выхода из системы","22702","checkLogout","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
